time,ex,chloroplast1,chloroplast2,chloroplast3,chloroplast4,chloroplast5,chloroplast6,chloroplast7,chloroplast8,chloroplast9,chloroplast10,chloroplast11,chloroplast12,chloroplast13,chloroplast14,chloroplast15
58,1,1.550001486,4.186786665,2.989107951,0.416436427,1.59214622,1.794027813,3.812664335,7.83546396,5.56570633,3.964559208,8.23529412,8.71042591,5.98914217,4.602839834,5.58823529
59,1,1.458984415,4.076971785,2.931639153,0.197234426,1.45456498,1.761244498,3.830163628,7.83161809,5.44982198,3.932406152,8.47174411,8.88285144,6.27280465,4.602839834,5.29411765
60,1,1.373774392,4.208122158,2.931639153,0.197234426,1.45456498,1.701984019,3.784372813,7.68131438,5.33478894,3.699087616,8.47174411,8.47174411,6.35309357,4.602839834,5.29411765
61,1,1.323208781,4.295043183,2.931639153,-0.001092005,1.381118673,1.733462235,3.732108639,7.66565968,5.25785162,3.689216849,8.71042591,8.30049301,6.35309357,4.379540423,5.29831847
62,1,1.384792161,4.383596534,2.844784142,-0.001092005,1.30844835,1.815410288,3.59439635,7.66565968,5.25785162,3.451520046,8.71042591,8.47174411,6.35309357,4.379540423,5.29831847
63,1,1.297505445,4.383596534,2.844784142,0.002162162,1.172721397,1.961055644,3.669392816,7.66565968,5.1342194,3.405174758,8.71042591,8.23529412,6.35309357,4.379540423,5.29831847
64,1,1.368364482,4.175088405,2.844784142,-0.042560997,1.057115536,1.961571346,3.59439635,7.66565968,5.1342194,3.376911433,8.71042591,8.47174411,6.35309357,4.16024206,5.31091067
65,1,1.322032997,4.385901454,2.758156652,-0.042560997,1.381910923,1.961571346,3.584158873,7.66565968,5.09684935,3.349008902,8.71042591,8.6471856,6.63531791,4.16024206,5.31091067
66,1,1.286334695,4.385901454,2.748433138,-0.086933168,1.533457206,1.914548182,3.485525479,7.90332626,4.932148219,3.349008902,8.54219345,8.6471856,6.63531791,3.945239015,5.31091067
67,1,1.233325508,4.389223416,2.738949533,-0.13148666,1.708215397,2.216540072,3.502853627,7.95686178,4.661953969,3.226297023,8.54219345,8.6471856,6.35309357,3.744746322,5.31091067
68,1,1.233325508,4.460736056,2.738949533,-0.220059857,1.795936719,2.216540072,3.502853627,7.95935518,4.661953969,3.282490228,8.54219345,8.41382853,6.35309357,3.744746322,5.29831847
69,1,1.090304067,4.418011613,2.738949533,-0.329871318,1.952108652,2.072596857,3.675398184,7.80547126,4.565783792,3.381644851,8.37831225,8.41382853,6.07148837,3.964559208,5.31091067
70,1,0.993549192,4.442394502,2.738949533,-0.329871318,2.061756609,1.965192613,3.675398184,7.86426641,4.565783792,3.465678612,8.54219345,8.6471856,6.35309357,3.774372877,5.33186357
71,1,0.883501726,4.442394502,2.738949533,-0.373895175,1.980222791,1.773408015,3.85858125,8.0626908,4.594309196,3.701360113,8.71042591,8.6471856,6.35309357,3.774372877,5.06896633
72,1,0.847437739,4.193850331,2.738949533,-0.373895175,1.944110104,1.871225154,3.85858125,8.12133913,4.672057321,3.980408747,8.71042591,8.6471856,6.35309357,3.549671679,5.06896633
73,1,0.732111674,4.193850331,2.787177821,-0.48358647,1.969203002,1.816646998,3.820478777,8.32053199,4.672057321,4.163517338,8.95122497,8.41382853,6.7205052,3.774372877,5.06896633
74,1,0.667252879,4.120895479,2.826347226,-0.679364934,1.969203002,1.965192613,3.756919602,8.4339664,4.615172276,4.15118962,8.95122497,8.41382853,6.7205052,3.549671679,5.06896633
75,1,0.602849505,4.120895479,2.817627019,-0.744229553,2.120543759,2.013986139,3.802307268,8.27526644,4.566846809,4.217638509,9.36065367,8.59638157,7.00129751,3.360394355,5.03885186
76,1,0.547086309,4.077367279,2.817627019,-0.82897114,1.986455012,2.116223594,3.802307268,8.23428028,4.34005206,4.029459666,9.60257834,8.78279355,7.20145207,3.360394355,4.74590678
77,1,0.530980887,4.080411529,2.986655057,-0.82897114,1.986455012,2.234014049,3.830163628,8.09208433,4.27764684,3.945054736,9.36065367,8.82665797,6.91811741,3.134892168,5.03885186
78,1,0.519728105,4.017609541,2.97926535,-0.82897114,2.030542476,2.389614427,3.875990017,8.13669775,4.27764684,3.793555845,9.19403354,8.82665797,6.91811741,3.329295446,4.74590678
79,1,0.519728105,4.065542667,3.166423625,-0.873949982,1.936750832,2.265836355,3.967472405,8.29191773,4.238636942,3.646407428,9.43875025,9.01000631,6.91811741,3.329295446,5.06896633
80,1,0.436454628,4.071891305,3.166423625,-0.89354579,1.927352748,2.265836355,3.996259209,8.29191773,4.296313446,3.599081029,9.43875025,9.01000631,7.00129751,3.329295446,4.74590678
81,1,0.357186624,4.18857558,3.312099245,-0.839843607,1.810070963,2.205106669,4.013402065,8.30628311,4.30596271,3.536836414,9.43875025,9.01000631,7.00129751,3.329295446,4.74590678
82,1,0.337090705,4.281110076,3.159826951,-0.839843607,1.633555317,2.126567629,4.175574994,8.39876463,4.30596271,3.45148934,9.93353209,9.19708045,7.00129751,3.113596602,5.03885186
83,1,0.222141443,4.306627843,3.124745878,-0.794356465,1.574196499,2.113756837,4.239380784,8.50647922,4.558212148,3.494257056,9.93353209,9.42376451,7.00129751,3.113596602,5.06896633
84,1,0.173905824,4.369001093,3.124745878,-0.794356465,1.422911102,2.199623801,4.203348542,8.66330732,4.558212148,3.694725452,10.09199013,9.42376451,7.00129751,3.113596602,4.776923611
85,1,-0.029281241,4.369001093,3.076440004,-0.839843607,1.406770856,2.168714336,4.284729892,8.80946336,4.365103903,3.694725452,10.09199013,9.61146159,7.00129751,2.913896498,4.776923611
86,1,-0.18887782,4.326589672,3.076194246,-0.839843607,1.391344831,2.189301319,4.494629597,8.85269105,4.335082326,3.670460975,10.25447351,9.83764501,6.81240331,2.902958143,4.816658393
87,1,-0.355844867,4.272946331,2.994292828,-0.903415213,1.391344831,2.196787646,4.63069711,8.73571888,4.152125932,3.641974741,10.25447351,10.06617468,7.09106164,2.902958143,4.776923611
88,1,-0.472564172,4.300816648,2.995618875,-0.949220578,1.186049218,2.212828453,4.63069711,8.85269105,4.152125932,3.641974741,10.25447351,10.06617468,6.9108569,2.697795487,4.776923611
89,1,-0.472564172,4.300816648,2.995618875,-0.949220578,1.079419591,2.230114651,4.63069711,8.81492153,4.046438674,3.509291121,10.42085498,9.83764501,6.9108569,2.487012977,4.816658393
90,1,-0.362397932,4.356912258,2.958912052,-1.040319995,1.064351975,2.335455026,4.676215306,8.81492153,3.99084876,3.509291121,10.42085498,9.65284554,6.9108569,2.487012977,4.816658393
